,position,handle,rating,rank_from,index_from,rank_to,index_to
970,3012,kaido,2078,Candidate Master,5,Master,4
971,3012,M_bolshakov,2078,Candidate Master,5,Expert,6
972,3012,starryskycat,2078,Candidate Master,5,Newbie,9
973,3022,stup_bitch,2076,Candidate Master,5,Specialist,7
974,3022,tupsuzdaliyorum,2076,Candidate Master,5,Newbie,9
975,3034,Kanaifu,2074,Candidate Master,5,Specialist,7
976,3034,hezilk,2074,Candidate Master,5,Legendary Grandmaster,0
977,3046,Raymond_7,2072,Candidate Master,5,Expert,6
978,3046,Konobeitsev_Ivan,2072,Candidate Master,5,Specialist,7
979,3046,abhayg_07,2072,Candidate Master,5,Expert,6
980,3046,mzmz001,2072,Candidate Master,5,Specialist,7
981,3058,Mobed,2071,Candidate Master,5,Specialist,7
982,3063,Alexander_0918,2070,Candidate Master,5,Pupil,8
983,3063,LinkWish,2070,Candidate Master,5,Newbie,9
984,3071,Min_Iskander,2069,Candidate Master,5,International Grandmaster,1
985,3078,shorya1835,2068,Candidate Master,5,Pupil,8
986,3078,daniel604,2068,Candidate Master,5,Newbie,9
987,3086,Markellonchik,2067,Candidate Master,5,Newbie,9
988,3086,HCCH,2067,Candidate Master,5,Newbie,9
989,3086,ripity,2067,Candidate Master,5,Newbie,9
990,3086,Sanae,2067,Candidate Master,5,Legendary Grandmaster,0
991,3097,Lehe,2066,Candidate Master,5,Newbie,9
992,3097,wlgh7407,2066,Candidate Master,5,Newbie,9
993,3113,wjyyy,2064,Candidate Master,5,Newbie,9
994,3120,IacobTudor,2063,Candidate Master,5,Newbie,9
995,3120,ocharin,2063,Candidate Master,5,Newbie,9
996,3131,tuxuanming2024,2062,Candidate Master,5,Specialist,7
997,3131,Garyyy,2062,Candidate Master,5,Expert,6
998,3144,oToToT,2059,Candidate Master,5,Pupil,8
999,3144,Kita,2059,Candidate Master,5,Grandmaster,2
1000,3144,zhangtianhan,2059,Candidate Master,5,Expert,6
1001,3144,ShadowShark,2059,Candidate Master,5,Legendary Grandmaster,0
1002,3182,newbie114514,2055,Candidate Master,5,Newbie,9
1003,3190,sokolow,2054,Candidate Master,5,Pupil,8
1004,3190,monoidic,2054,Candidate Master,5,Pupil,8
1005,3197,Son_of_Dijkstra,2053,Candidate Master,5,Grandmaster,2
1006,3208,shhy287029,2051,Candidate Master,5,Newbie,9
1007,3208,EckeoeTalndr,2051,Candidate Master,5,Pupil,8
1008,3216,Juras9,2050,Candidate Master,5,Pupil,8
1009,3216,N29,2050,Candidate Master,5,Master,4
1010,3216,bluerar,2050,Candidate Master,5,Master,4
1011,3216,Kouba64,2050,Candidate Master,5,Legendary Grandmaster,0
1012,3236,__chtholly__,2048,Candidate Master,5,Newbie,9
1013,3236,sparsh_16,2048,Candidate Master,5,Master,4
1014,3246,EyadBT,2047,Candidate Master,5,Pupil,8
1015,3246,Frus,2047,Candidate Master,5,Pupil,8
1016,3246,shrapnelzz,2047,Candidate Master,5,Grandmaster,2
1017,3259,ErrorAssassin,2046,Candidate Master,5,Expert,6
1018,3259,tvladm,2046,Candidate Master,5,Specialist,7
1019,3259,Napoleon,2046,Candidate Master,5,Legendary Grandmaster,0
1020,3270,xkm,2045,Candidate Master,5,Legendary Grandmaster,0
1021,3280,LEViTATED,2044,Candidate Master,5,Legendary Grandmaster,0
1022,3280,ezraft,2044,Candidate Master,5,International Master,3
1023,3280,0npata,2044,Candidate Master,5,Legendary Grandmaster,0
1024,3280,robinyqc,2044,Candidate Master,5,Master,4
1025,3280,AndroidOreo,2044,Candidate Master,5,Legendary Grandmaster,0
1026,3294,leovl48,2043,Candidate Master,5,Pupil,8
1027,3294,1xx55,2043,Candidate Master,5,Expert,6
1028,3306,Charming,2042,Candidate Master,5,Legendary Grandmaster,0
1029,3306,anmattroi,2042,Candidate Master,5,Legendary Grandmaster,0
1030,3312,chocological,2041,Candidate Master,5,Master,4
1031,3312,lishan4688,2041,Candidate Master,5,Master,4
1032,3319,StefanSebez,2040,Candidate Master,5,International Grandmaster,1
1033,3319,hqmm,2040,Candidate Master,5,Specialist,7
1034,3319,anfanite396,2040,Candidate Master,5,Legendary Grandmaster,0
1035,3326,BabaVoss,2039,Candidate Master,5,Pupil,8
1036,3326,stefanopulos,2039,Candidate Master,5,Grandmaster,2
1037,3326,bykem,2039,Candidate Master,5,International Grandmaster,1
1038,3335,smalyarovsky,2038,Candidate Master,5,Pupil,8
1039,3338,mezavant,2037,Candidate Master,5,Master,4
1040,3338,ordinary_newbie,2037,Candidate Master,5,Newbie,9
1041,3345,LittleXi,2036,Candidate Master,5,Newbie,9
1042,3345,candy0014,2036,Candidate Master,5,Specialist,7
1043,3345,tymond,2036,Candidate Master,5,Newbie,9
1044,3355,triccsr,2035,Candidate Master,5,Specialist,7
1045,3355,Vistarin,2035,Candidate Master,5,Master,4
1046,3355,ghc7hHx,2035,Candidate Master,5,Legendary Grandmaster,0
1047,3362,idr1ska,2034,Candidate Master,5,Pupil,8
1048,3362,h4d1,2034,Candidate Master,5,Newbie,9
1049,3371,_greedy,2033,Candidate Master,5,Grandmaster,2
1050,3371,gxd,2033,Candidate Master,5,Specialist,7
1051,3371,gjlccc,2033,Candidate Master,5,Newbie,9
1052,3382,leeminhduc2,2032,Candidate Master,5,Expert,6
1053,3382,Bahamin,2032,Candidate Master,5,Grandmaster,2
1054,3382,Empty_Dust,2032,Candidate Master,5,Newbie,9
1055,3389,Pashteticus,2031,Candidate Master,5,Legendary Grandmaster,0
1056,3389,XZRSEVEN,2031,Candidate Master,5,Specialist,7
1057,3400,Haz_Begonia,2030,Candidate Master,5,Newbie,9
1058,3410,pk_27,2029,Candidate Master,5,Newbie,9
1059,3410,xiang_xiang,2029,Candidate Master,5,Specialist,7
1060,3410,wsjr2024,2029,Candidate Master,5,Newbie,9
1061,3419,Blonde_On_B1onde,2028,Candidate Master,5,International Master,3
1062,3419,TheForsaking,2028,Candidate Master,5,Specialist,7
1063,3430,liveworldlike,2027,Candidate Master,5,Expert,6
1064,3430,VulcanForge,2027,Candidate Master,5,Pupil,8
1065,3437,hcywoi,2026,Candidate Master,5,Specialist,7
1066,3437,zhoujingchen,2026,Candidate Master,5,Expert,6
1067,3447,cowwycow,2025,Candidate Master,5,Specialist,7
1068,3455,lybzscyzb,2024,Candidate Master,5,Newbie,9
1069,3455,Ayalla,2024,Candidate Master,5,Newbie,9
1070,3455,gnudgnaoh,2024,Candidate Master,5,Specialist,7
1071,3455,ihanif,2024,Candidate Master,5,Grandmaster,2
1072,3455,wjh666,2024,Candidate Master,5,Legendary Grandmaster,0
1073,3470,Papaz239,2023,Candidate Master,5,Newbie,9
1074,3478,l-_-l,2022,Candidate Master,5,Newbie,9
1075,3478,rtckyw_,2022,Candidate Master,5,Specialist,7
1076,3478,NATO,2022,Candidate Master,5,Newbie,9
1077,3488,hymsly,2021,Candidate Master,5,Specialist,7
1078,3488,YahiaSherif,2021,Candidate Master,5,Pupil,8
1079,3488,-_TIMOFEY_-,2021,Candidate Master,5,Expert,6
1080,3497,illyakr,2020,Candidate Master,5,Grandmaster,2
1081,3497,Vu_CG_Coder,2020,Candidate Master,5,Master,4
1082,3497,_Pahal_Aman,2020,Candidate Master,5,Pupil,8
1083,3497,der_Kaizer,2020,Candidate Master,5,Grandmaster,2
1084,3508,yyh603,2019,Candidate Master,5,Specialist,7
1085,3508,d.o.,2019,Candidate Master,5,Newbie,9
1086,3520,ankan2526,2018,Candidate Master,5,International Master,3
1087,3532,monkey8,2017,Candidate Master,5,Specialist,7
1088,3532,sare,2017,Candidate Master,5,Newbie,9
1089,3532,KiruxaLight,2017,Candidate Master,5,International Master,3
1090,3532,Ngeces,2017,Candidate Master,5,Legendary Grandmaster,0
1091,3532,yanb0,2017,Candidate Master,5,Specialist,7
1092,3546,xhgua,2016,Candidate Master,5,Grandmaster,2
1093,3546,wltt,2016,Candidate Master,5,Legendary Grandmaster,0
1094,3556,AkiLotus,2015,Candidate Master,5,International Grandmaster,1
1095,3556,Nalrimet,2015,Candidate Master,5,Master,4
1096,3556,987,2015,Candidate Master,5,Master,4
1097,3556,Atziluth,2015,Candidate Master,5,Specialist,7
1098,3556,Simak__Stepan,2015,Candidate Master,5,Expert,6
1099,3556,jophyyjh,2015,Candidate Master,5,Legendary Grandmaster,0
1100,3556,tienvn123,2015,Candidate Master,5,Legendary Grandmaster,0
1101,3556,Hojstyer,2015,Candidate Master,5,Legendary Grandmaster,0
1102,3566,YouKn0wWho,2014,Candidate Master,5,Grandmaster,2
1103,3566,bandiaoz,2014,Candidate Master,5,Newbie,9
1104,3566,Shoryu386,2014,Candidate Master,5,Newbie,9
1105,3566,leyuo,2014,Candidate Master,5,International Grandmaster,1
1106,3566,yuina10,2014,Candidate Master,5,Legendary Grandmaster,0
1107,3581,RainyRainy,2013,Candidate Master,5,Legendary Grandmaster,0
1108,3581,Liang_Yusong,2013,Candidate Master,5,Legendary Grandmaster,0
1109,3594,egge,2012,Candidate Master,5,Specialist,7
1110,3594,alexk07,2012,Candidate Master,5,Legendary Grandmaster,0
1111,3594,youdu666,2012,Candidate Master,5,Legendary Grandmaster,0
1112,3594,yvbf,2012,Candidate Master,5,Newbie,9
1113,3594,BYR_KKK,2012,Candidate Master,5,Grandmaster,2
1114,3602,FHQY,2011,Candidate Master,5,Specialist,7
1115,3602,TakanashiHoshino,2011,Candidate Master,5,Specialist,7
1116,3602,licn090605,2011,Candidate Master,5,Legendary Grandmaster,0
1117,3602,Taibo,2011,Candidate Master,5,Pupil,8
1118,3615,tumu1t,2010,Candidate Master,5,Specialist,7
1119,3615,MarcusL,2010,Candidate Master,5,Legendary Grandmaster,0
1120,3615,HoriaB,2010,Candidate Master,5,Legendary Grandmaster,0
1121,3615,FlowerandYou,2010,Candidate Master,5,Pupil,8
1122,3622,VegJJJy,2009,Candidate Master,5,Specialist,7
1123,3622,six-floor-slip-liu,2009,Candidate Master,5,Newbie,9
1124,3622,tianbincheng,2009,Candidate Master,5,Expert,6
1125,3629,__Morgan,2008,Candidate Master,5,International Master,3
1126,3634,basebillions,2007,Candidate Master,5,Grandmaster,2
1127,3634,MiracleFFT,2007,Candidate Master,5,Specialist,7
1128,3634,A_M_Namdar,2007,Candidate Master,5,Master,4
1129,3642,pacha2880,2006,Candidate Master,5,Newbie,9
1130,3642,mesanu,2006,Candidate Master,5,Pupil,8
1131,3642,a.out,2006,Candidate Master,5,Newbie,9
1132,3654,kimmoqt,2005,Candidate Master,5,Specialist,7
1133,3654,C0RRECT,2005,Candidate Master,5,Newbie,9
1134,3654,snowythecat,2005,Candidate Master,5,Newbie,9
1135,3670,Echp0chmak,2004,Candidate Master,5,Specialist,7
1136,3670,lz123,2004,Candidate Master,5,Specialist,7
1137,3670,Hongruizhao,2004,Candidate Master,5,Newbie,9
1138,3670,tushaar9876,2004,Candidate Master,5,Master,4
1139,3670,hjh123445,2004,Candidate Master,5,Newbie,9
1140,3689,TLE_Automat,2003,Candidate Master,5,Master,4
1141,3695,Alexfil,2002,Candidate Master,5,International Master,3
1142,3695,nohandle_5,2002,Candidate Master,5,Specialist,7
1143,3695,HUST_UESLESS,2002,Candidate Master,5,Legendary Grandmaster,0
1144,3704,Jakub_Woxniak,2001,Candidate Master,5,Pupil,8
1145,3707,GlassesNerd,2000,Candidate Master,5,Newbie,9
1146,3707,_ZhangJL_,2000,Candidate Master,5,Newbie,9
1147,3707,BladeRunner,2000,Candidate Master,5,Newbie,9
1148,3707,wxy2010,2000,Candidate Master,5,Pupil,8
1149,3707,JanBobi,2000,Candidate Master,5,Master,4
1150,3707,Ichinoseyang,2000,Candidate Master,5,Legendary Grandmaster,0
1151,3707,moonlight_in_the_sky,2000,Candidate Master,5,Newbie,9
1152,3724,Partiali,1999,Candidate Master,5,Specialist,7
1153,3736,vlp,1998,Candidate Master,5,Specialist,7
1154,3736,valavshonok,1998,Candidate Master,5,Master,4
1155,3736,sukilyh,1998,Candidate Master,5,Legendary Grandmaster,0
1156,3736,_iv,1998,Candidate Master,5,Newbie,9
1157,3743,iye,1997,Candidate Master,5,Legendary Grandmaster,0
1158,3752,larionov_kirill,1996,Candidate Master,5,Pupil,8
1159,3752,Sacharlemagne,1996,Candidate Master,5,Specialist,7
1160,3752,Sakuya_maid,1996,Candidate Master,5,Specialist,7
1161,3764,99_wood,1995,Candidate Master,5,Specialist,7
1162,3764,shqrky,1995,Candidate Master,5,Grandmaster,2
1163,3764,ayush.ab44,1995,Candidate Master,5,International Master,3
1164,3772,Deamer,1994,Candidate Master,5,Newbie,9
1165,3772,Aria_Math,1994,Candidate Master,5,Specialist,7
1166,3772,International_River,1994,Candidate Master,5,Specialist,7
1167,3785,kavorka,1993,Candidate Master,5,International Grandmaster,1
1168,3798,adepteXiao,1992,Candidate Master,5,Specialist,7
1169,3798,dongggle,1992,Candidate Master,5,Specialist,7
1170,3798,Nt_Yester,1992,Candidate Master,5,International Master,3
1171,3798,RoomTemperatureIQ,1992,Candidate Master,5,Specialist,7
1172,3798,MikuDenshi,1992,Candidate Master,5,International Master,3
1173,3798,lsr_czz,1992,Candidate Master,5,International Grandmaster,1
1174,3811,IceWolf898,1991,Candidate Master,5,Newbie,9
1175,3811,xuhaotian,1991,Candidate Master,5,Newbie,9
1176,3811,asdhhjlckdja,1991,Candidate Master,5,Legendary Grandmaster,0
1177,3811,crazystory,1991,Candidate Master,5,Legendary Grandmaster,0
1178,3817,Vladosiya,1990,Candidate Master,5,Master,4
1179,3817,dmkozyrev,1990,Candidate Master,5,Pupil,8
1180,3817,5720226849,1990,Candidate Master,5,Specialist,7
1181,3827,2949767807qwer,1989,Candidate Master,5,Master,4
1182,3827,trinhtung2007,1989,Candidate Master,5,Legendary Grandmaster,0
1183,3834,AbsurdMan,1988,Candidate Master,5,Newbie,9
1184,3834,CReatiQ,1988,Candidate Master,5,Newbie,9
1185,3834,MikaKoKo,1988,Candidate Master,5,Newbie,9
1186,3834,zhongpeilin,1988,Candidate Master,5,Master,4
1187,3834,wullaaa,1988,Candidate Master,5,Expert,6
1188,3852,honakakaka,1986,Candidate Master,5,Legendary Grandmaster,0
1189,3862,yoru_sacri,1985,Candidate Master,5,International Grandmaster,1
1190,3870,medmdgm,1984,Candidate Master,5,Grandmaster,2
1191,3870,guoxiangyu,1984,Candidate Master,5,Master,4
1192,3870,Dreambutterfly,1984,Candidate Master,5,Legendary Grandmaster,0
1193,3885,darkus-_-,1983,Candidate Master,5,Pupil,8
1194,3885,too_rusty,1983,Candidate Master,5,Grandmaster,2
1195,3894,forgotmyhandle,1982,Candidate Master,5,Specialist,7
1196,3894,_bluemeth_,1982,Candidate Master,5,Expert,6
1197,3894,bladewaltz,1982,Candidate Master,5,Pupil,8
1198,3894,Angelic1018,1982,Candidate Master,5,International Grandmaster,1
1199,3913,_anhtun.hi_,1981,Candidate Master,5,International Master,3
1200,3926,OkClinty,1980,Candidate Master,5,International Master,3
1201,3926,slash0t,1980,Candidate Master,5,Specialist,7
1202,3932,ParsaS,1979,Candidate Master,5,Grandmaster,2
1203,3932,Forever1507,1979,Candidate Master,5,Master,4
1204,3932,AlefHeKaaf,1979,Candidate Master,5,Specialist,7
1205,3943,Mahm2od,1978,Candidate Master,5,Master,4
1206,3943,rafatoa,1978,Candidate Master,5,Master,4
1207,3957,satturn80,1977,Candidate Master,5,Grandmaster,2
1208,3957,AbdoSa3d,1977,Candidate Master,5,Specialist,7
1209,3957,ItzDesert,1977,Candidate Master,5,Specialist,7
1210,3967,midnight-coder,1976,Candidate Master,5,Pupil,8
1211,3967,AsiraeM,1976,Candidate Master,5,Newbie,9
1212,3978,widsnoy,1975,Candidate Master,5,Newbie,9
1213,3978,yyrwlj,1975,Candidate Master,5,Grandmaster,2
1214,3991,KawakiMeido,1974,Candidate Master,5,Master,4
1215,4007,Sogard,1973,Candidate Master,5,International Master,3
1216,4007,kaichou243,1973,Candidate Master,5,Grandmaster,2
1217,4007,oyzr,1973,Candidate Master,5,Newbie,9
1218,4007,CodeforcesADMlN,1973,Candidate Master,5,Newbie,9
1219,4007,sai-17,1973,Candidate Master,5,Grandmaster,2
1220,4007,lucky__389,1973,Candidate Master,5,Legendary Grandmaster,0
1221,4007,fydj,1973,Candidate Master,5,Legendary Grandmaster,0
1222,4025,Rodionno,1972,Candidate Master,5,Pupil,8
1223,4025,Khomutov,1972,Candidate Master,5,Legendary Grandmaster,0
1224,4025,sashatorba12022008,1972,Candidate Master,5,International Master,3
1225,4025,alinp,1972,Candidate Master,5,Expert,6
1226,4025,monui,1972,Candidate Master,5,Legendary Grandmaster,0
1227,4025,FXLY_awa,1972,Candidate Master,5,Legendary Grandmaster,0
1228,4039,shaoxing_moon,1971,Candidate Master,5,Legendary Grandmaster,0
1229,4039,ywc_,1971,Candidate Master,5,Newbie,9
1230,4053,RWeakest,1970,Candidate Master,5,Legendary Grandmaster,0
1231,4053,chUoNgnn,1970,Candidate Master,5,Newbie,9
1232,4066,dontforgetyourself,1969,Candidate Master,5,Grandmaster,2
1233,4066,Atri,1969,Candidate Master,5,International Master,3
1234,4084,Chx_,1968,Candidate Master,5,Specialist,7
1235,4096,IZhna,1967,Candidate Master,5,Master,4
1236,4096,jmao142857,1967,Candidate Master,5,Newbie,9
1237,4096,youthPaul,1967,Candidate Master,5,Legendary Grandmaster,0
1238,4096,Captainfly,1967,Candidate Master,5,Specialist,7
1239,4096,guestxd,1967,Candidate Master,5,Newbie,9
1240,4112,Shubham_KV,1966,Candidate Master,5,International Grandmaster,1
1241,4112,bieybay,1966,Candidate Master,5,International Master,3
1242,4118,people_plus_plus,1965,Candidate Master,5,Pupil,8
1243,4118,const,1965,Candidate Master,5,Legendary Grandmaster,0
1244,4118,gustavocruz,1965,Candidate Master,5,Specialist,7
1245,4118,Nuyoah-Yan,1965,Candidate Master,5,Legendary Grandmaster,0
1246,4130,tryasozhoper,1964,Candidate Master,5,Newbie,9
1247,4130,esum,1964,Candidate Master,5,Specialist,7
1248,4130,Maxduan,1964,Candidate Master,5,Pupil,8
1249,4152,mike_chu,1963,Candidate Master,5,Expert,6
1250,4152,klein199,1963,Candidate Master,5,Grandmaster,2
1251,4152,zxhaoao923,1963,Candidate Master,5,Newbie,9
1252,4167,LittleDongRabbit,1962,Candidate Master,5,Newbie,9
1253,4179,JerryMao,1961,Candidate Master,5,Master,4
1254,4179,A_Nafees,1961,Candidate Master,5,Newbie,9
1255,4179,Justin666,1961,Candidate Master,5,Legendary Grandmaster,0
1256,4179,EdGrass,1961,Candidate Master,5,Legendary Grandmaster,0
1257,4179,Jhdrgfj.,1961,Candidate Master,5,Specialist,7
1258,4199,Igor_Parfenov,1960,Candidate Master,5,Specialist,7
1259,4199,Big_Dankakon,1960,Candidate Master,5,Pupil,8
1260,4199,BortiK,1960,Candidate Master,5,Specialist,7
1261,4199,Saanteye,1960,Candidate Master,5,Legendary Grandmaster,0
1262,4199,soullless,1960,Candidate Master,5,Legendary Grandmaster,0
1263,4199,Srginit286,1960,Candidate Master,5,Grandmaster,2
1264,4214,DaniraSilla,1959,Candidate Master,5,Expert,6
1265,4214,kitsunehivern,1959,Candidate Master,5,Specialist,7
1266,4214,MegalovaniaJ,1959,Candidate Master,5,Pupil,8
1267,4214,luka.heric,1959,Candidate Master,5,Specialist,7
1268,4214,mncuchiinhuttt,1959,Candidate Master,5,Newbie,9
1269,4214,wxr_,1959,Candidate Master,5,Specialist,7
1270,4214,Heartquake,1959,Candidate Master,5,Pupil,8
1271,4232,cosmicmanhnopro,1958,Candidate Master,5,Specialist,7
1272,4232,jmyszka,1958,Candidate Master,5,Specialist,7
1273,4232,tllwtg,1958,Candidate Master,5,Master,4
1274,4232,dead0ne,1958,Candidate Master,5,Newbie,9
1275,4232,PandaGhost,1958,Candidate Master,5,Legendary Grandmaster,0
1276,4232,PhcKhnhTapCode,1958,Candidate Master,5,Legendary Grandmaster,0
1277,4253,Kalashyan,1957,Candidate Master,5,Pupil,8
1278,4253,Marky,1957,Candidate Master,5,Pupil,8
1279,4253,cyx,1957,Candidate Master,5,Specialist,7
1280,4253,Harsh_kunwar,1957,Candidate Master,5,Newbie,9
1281,4253,dirac_delta,1957,Candidate Master,5,Newbie,9
1282,4269,system_1,1956,Candidate Master,5,Grandmaster,2
1283,4269,svntn.4vr,1956,Candidate Master,5,Master,4
1284,4269,AsukaSaito,1956,Candidate Master,5,Master,4
1285,4269,lftroq,1956,Candidate Master,5,Master,4
1286,4269,XG0000,1956,Candidate Master,5,Expert,6
1287,4269,PsychoPinkQ,1956,Candidate Master,5,Specialist,7
1288,4269,int233233,1956,Candidate Master,5,Legendary Grandmaster,0
1289,4282,0000pnc,1955,Candidate Master,5,International Grandmaster,1
1290,4282,BeautifulWish,1955,Candidate Master,5,Grandmaster,2
1291,4296,royhahayayaha,1954,Candidate Master,5,Master,4
1292,4296,n11k,1954,Candidate Master,5,Master,4
1293,4296,plAtEaUpUs,1954,Candidate Master,5,Pupil,8
1294,4310,webmonster,1953,Candidate Master,5,Specialist,7
1295,4310,Nanami,1953,Candidate Master,5,International Master,3
1296,4310,TurboChemtank,1953,Candidate Master,5,Specialist,7
1297,4310,Jotinha,1953,Candidate Master,5,Master,4
1298,4310,toIrz,1953,Candidate Master,5,Grandmaster,2
1299,4310,sojabhai,1953,Candidate Master,5,Master,4
1300,4329,timg,1952,Candidate Master,5,Pupil,8
1301,4329,RimuruChan,1952,Candidate Master,5,Specialist,7
1302,4329,xieyijie,1952,Candidate Master,5,Master,4
1303,4329,Gheazedrokzoe,1952,Candidate Master,5,Legendary Grandmaster,0
1304,4348,choyj416,1951,Candidate Master,5,Master,4
1305,4351,abdelrahman_samir,1950,Candidate Master,5,Legendary Grandmaster,0
1306,4351,uyi,1950,Candidate Master,5,Specialist,7
1307,4351,diya0131,1950,Candidate Master,5,Legendary Grandmaster,0
1308,4351,dcmquandl,1950,Candidate Master,5,Specialist,7
1309,4351,AndrewPav,1950,Candidate Master,5,International Master,3
1310,4351,letritien,1950,Candidate Master,5,Legendary Grandmaster,0
1311,4351,Hasanv,1950,Candidate Master,5,Pupil,8
1312,4370,yash_karakoti,1949,Candidate Master,5,Master,4
1313,4386,AlesL0,1948,Candidate Master,5,Specialist,7
1314,4386,Nurislam-S-016-24,1948,Candidate Master,5,Specialist,7
1315,4386,LTTrungCHL,1948,Candidate Master,5,Legendary Grandmaster,0
1316,4386,GuillemBC,1948,Candidate Master,5,Newbie,9
1317,4400,pupilemus,1947,Candidate Master,5,Newbie,9
1318,4400,rlidon2006,1947,Candidate Master,5,Expert,6
1319,4400,lunaTu,1947,Candidate Master,5,Newbie,9
1320,4400,tacocat,1947,Candidate Master,5,Master,4
1321,4400,boketto,1947,Candidate Master,5,Newbie,9
1322,4412,hulm,1946,Candidate Master,5,Grandmaster,2
1323,4412,Bob_Wang,1946,Candidate Master,5,Master,4
1324,4412,eternal_happiness,1946,Candidate Master,5,Expert,6
1325,4412,azure-,1946,Candidate Master,5,Specialist,7
1326,4412,JahonaliX,1946,Candidate Master,5,International Grandmaster,1
1327,4432,keep1earning,1945,Candidate Master,5,Newbie,9
1328,4432,KhaledElGendy,1945,Candidate Master,5,Master,4
1329,4432,white_unicorn,1945,Candidate Master,5,Newbie,9
1330,4443,TypeYippie,1944,Candidate Master,5,Pupil,8
1331,4443,jat.arc2004,1944,Candidate Master,5,Pupil,8
1332,4443,Displace_,1944,Candidate Master,5,Newbie,9
1333,4460,szilb,1943,Candidate Master,5,Specialist,7
1334,4460,peacebringer167,1943,Candidate Master,5,Pupil,8
1335,4460,danlll,1943,Candidate Master,5,Master,4
1336,4477,el_programador,1942,Candidate Master,5,Legendary Grandmaster,0
1337,4477,Nathan4,1942,Candidate Master,5,Master,4
1338,4477,4927618350,1942,Candidate Master,5,Newbie,9
1339,4477,Djangle162857,1942,Candidate Master,5,Legendary Grandmaster,0
1340,4477,STARBOWBREAK6,1942,Candidate Master,5,Newbie,9
1341,4496,Baytoro,1941,Candidate Master,5,Expert,6
1342,4496,Versern,1941,Candidate Master,5,Newbie,9
1343,4496,Fremder,1941,Candidate Master,5,Master,4
1344,4496,CoderAbhi27,1941,Candidate Master,5,Master,4
1345,4510,xiaoxiaobaozi,1940,Candidate Master,5,Legendary Grandmaster,0
1346,4510,Wf_yjqd,1940,Candidate Master,5,International Master,3
1347,4510,3615711462.,1940,Candidate Master,5,Expert,6
1348,4510,cwz2024,1940,Candidate Master,5,Grandmaster,2
1349,4534,baizongyu314,1939,Candidate Master,5,Newbie,9
1350,4534,derParod,1939,Candidate Master,5,Newbie,9
1351,4553,d1mk,1938,Candidate Master,5,Specialist,7
1352,4553,dartvolley,1938,Candidate Master,5,Legendary Grandmaster,0
1353,4553,TiLTovozzik,1938,Candidate Master,5,Newbie,9
1354,4569,elixir,1937,Candidate Master,5,Specialist,7
1355,4569,thisIsMorningstar,1937,Candidate Master,5,Pupil,8
1356,4569,lewc,1937,Candidate Master,5,Master,4
1357,4569,justin_g_20,1937,Candidate Master,5,Newbie,9
1358,4569,prz1213,1937,Candidate Master,5,Specialist,7
1359,4569,Floze3,1937,Candidate Master,5,Legendary Grandmaster,0
1360,4569,233zhang,1937,Candidate Master,5,Legendary Grandmaster,0
1361,4589,_TernaryTree_,1936,Candidate Master,5,Pupil,8
1362,4589,Kadoc,1936,Candidate Master,5,Legendary Grandmaster,0
1363,4589,x1aoH,1936,Candidate Master,5,Legendary Grandmaster,0
1364,4589,Glastrier,1936,Candidate Master,5,Expert,6
1365,4589,Diamondd,1936,Candidate Master,5,Legendary Grandmaster,0
1366,4602,peteza,1935,Candidate Master,5,Newbie,9
1367,4602,Ali_07,1935,Candidate Master,5,Grandmaster,2
1368,4602,zhpwp,1935,Candidate Master,5,International Grandmaster,1
1369,4602,IcedBear,1935,Candidate Master,5,International Grandmaster,1
1370,4619,fikys,1934,Candidate Master,5,Specialist,7
1371,4619,svinidla,1934,Candidate Master,5,Grandmaster,2
1372,4619,Tecy,1934,Candidate Master,5,Legendary Grandmaster,0
1373,4619,tjf4,1934,Candidate Master,5,Pupil,8
1374,4619,dqw,1934,Candidate Master,5,Legendary Grandmaster,0
1375,4619,born_to_sun,1934,Candidate Master,5,Legendary Grandmaster,0
1376,4636,djrfrn,1933,Candidate Master,5,Master,4
1377,4645,GooglerPraveen,1932,Candidate Master,5,International Master,3
1378,4645,franchu,1932,Candidate Master,5,Legendary Grandmaster,0
1379,4645,WaterSun,1932,Candidate Master,5,International Grandmaster,1
1380,4645,chenlinxuan0226,1932,Candidate Master,5,Legendary Grandmaster,0
1381,4656,Farsh_LE,1931,Candidate Master,5,Pupil,8
1382,4656,placik,1931,Candidate Master,5,Pupil,8
1383,4656,FugiPig,1931,Candidate Master,5,Newbie,9
1384,4656,user_name_,1931,Candidate Master,5,Master,4
1385,4676,khangai11,1930,Candidate Master,5,Pupil,8
1386,4676,Joacoini,1930,Candidate Master,5,Specialist,7
1387,4676,ayhan37,1930,Candidate Master,5,Newbie,9
1388,4676,hoangnoobpro,1930,Candidate Master,5,Expert,6
1389,4676,lyongwolf,1930,Candidate Master,5,Legendary Grandmaster,0
1390,4691,Tareq_Abrar,1929,Candidate Master,5,Newbie,9
1391,4691,snasibov05,1929,Candidate Master,5,Specialist,7
1392,4691,lO_ol,1929,Candidate Master,5,Newbie,9
1393,4691,HY_Spark,1929,Candidate Master,5,International Grandmaster,1
1394,4691,convective_rain,1929,Candidate Master,5,Specialist,7
1395,4708,aaryadeep21,1928,Candidate Master,5,International Master,3
1396,4708,kuguadawang,1928,Candidate Master,5,Newbie,9
1397,4708,vedantjain29,1928,Candidate Master,5,Specialist,7
1398,4708,love_gold_,1928,Candidate Master,5,Newbie,9
1399,4727,cot-in,1927,Candidate Master,5,Master,4
