,position,handle,rating,rank_from,index_from,rank_to,index_to
98,237,_Purslane_,2645,International Grandmaster,1,Legendary Grandmaster,0
99,239,pashka,2644,International Grandmaster,1,Newbie,9
100,240,Hyperbolic,2640,International Grandmaster,1,Specialist,7
101,244,zltzlt,2637,International Grandmaster,1,International Master,3
102,251,N_z__,2633,International Grandmaster,1,Specialist,7
103,251,yuanruiqi,2633,International Grandmaster,1,Candidate Master,5
104,255,Savior-of-Cross,2630,International Grandmaster,1,Master,4
105,261,anmichi,2626,International Grandmaster,1,Master,4
106,264,Zhouershan,2625,International Grandmaster,1,Master,4
107,265,Marckess,2624,International Grandmaster,1,Specialist,7
108,265,TheScrasse,2624,International Grandmaster,1,Candidate Master,5
109,265,SomethingNew,2624,International Grandmaster,1,Specialist,7
110,269,abc864197532,2621,International Grandmaster,1,Expert,6
111,269,pavement,2621,International Grandmaster,1,Pupil,8
112,272,fallleaves01,2620,International Grandmaster,1,Pupil,8
113,272,as_dfsdf,2620,International Grandmaster,1,Newbie,9
114,277,natofp,2619,International Grandmaster,1,Expert,6
115,278,jdurie,2618,International Grandmaster,1,Grandmaster,2
116,279,complexor,2617,International Grandmaster,1,Candidate Master,5
117,280,tarjen,2616,International Grandmaster,1,Specialist,7
118,280,marvinthang,2616,International Grandmaster,1,Expert,6
119,282,-14,2615,International Grandmaster,1,Specialist,7
120,284,HaramuraNodoka,2614,International Grandmaster,1,Newbie,9
121,284,ganeid,2614,International Grandmaster,1,Pupil,8
122,289,sammyuri,2613,International Grandmaster,1,Specialist,7
123,297,251Sec,2607,International Grandmaster,1,Candidate Master,5
124,305,rui_er,2600,International Grandmaster,1,Legendary Grandmaster,0
125,307,kostylevGO,2599,Grandmaster,2,International Grandmaster,1
126,308,Rafi22,2598,Grandmaster,2,Candidate Master,5
127,311,afuafu,2594,Grandmaster,2,Pupil,8
128,318,chaeyihwan,2587,Grandmaster,2,Master,4
129,319,wzc_IOI_czw,2586,Grandmaster,2,Expert,6
130,319,propane,2586,Grandmaster,2,Candidate Master,5
131,322,S2speed,2585,Grandmaster,2,Candidate Master,5
132,323,lmh_qwq,2584,Grandmaster,2,Newbie,9
133,323,LKY928261,2584,Grandmaster,2,Expert,6
134,327,w2y51c318,2583,Grandmaster,2,Specialist,7
135,330,xianboyu,2580,Grandmaster,2,Master,4
136,332,EasonTAO,2579,Grandmaster,2,Legendary Grandmaster,0
137,334,lmcutezzz,2570,Grandmaster,2,Specialist,7
138,341,Kude,2565,Grandmaster,2,Pupil,8
139,348,BaoJiaoPisu,2560,Grandmaster,2,Specialist,7
140,349,keisuke6,2559,Grandmaster,2,Expert,6
141,356,AmirAli-Asgari,2553,Grandmaster,2,Specialist,7
142,357,Macesuted-Moe,2552,Grandmaster,2,Newbie,9
143,357,RP-1,2552,Grandmaster,2,International Grandmaster,1
144,357,Galetx,2552,Grandmaster,2,Specialist,7
145,357,Midnights,2552,Grandmaster,2,Candidate Master,5
146,364,pooty,2547,Grandmaster,2,Legendary Grandmaster,0
147,366,variance,2546,Grandmaster,2,Pupil,8
148,372,shobonvip,2539,Grandmaster,2,Pupil,8
149,376,syx2567,2536,Grandmaster,2,Newbie,9
150,378,Daniel777,2535,Grandmaster,2,Pupil,8
151,382,AngusRitossa,2532,Grandmaster,2,Candidate Master,5
152,382,k1r1t0,2532,Grandmaster,2,Legendary Grandmaster,0
153,387,Potassium,2530,Grandmaster,2,Newbie,9
154,389,Ronnie007,2527,Grandmaster,2,Candidate Master,5
155,393,DiMashina2005,2522,Grandmaster,2,Legendary Grandmaster,0
156,397,fyable,2520,Grandmaster,2,Expert,6
157,399,kevinyang,2519,Grandmaster,2,Candidate Master,5
158,400,EJIC_B_KEDAX,2518,Grandmaster,2,International Grandmaster,1
159,403,sstrong,2516,Grandmaster,2,Specialist,7
160,403,golomb,2516,Grandmaster,2,Candidate Master,5
161,407,KroosTheKeenGlint,2515,Grandmaster,2,Master,4
162,415,Yuuuuuuuuuuuuuuuuu,2509,Grandmaster,2,Specialist,7
